User id,inst,Time (secs),Number of moves,difficulty,Date,npo,nsols,avg_naff,nfrozen,minr,avgr,minr_extr,minr_extl,npstn,nlo,bs,ac
9f35695d-bc4d-4d07-91ab-869f35e80e14,7_6,27,8,2,Tue Apr 10 19:05:16 GMT+02:00 2018,10,22,51.3,0,7,9.4,1,0,5.571428571428571,80,3128,0.398453677348
9f35695d-bc4d-4d07-91ab-869f35e80e14,3_2,1,3,1,Tue Apr 10 19:26:50 GMT+02:00 2018,2,2,3.0,1,1,1.0,0,0,2.0,2,6,-0.260337533649
9f35695d-bc4d-4d07-91ab-869f35e80e14,4_1,11,14,2,Tue Apr 10 19:27:20 GMT+02:00 2018,1,1,17.0,4,5,5.0,2,2,2.5,3,23,-0.0473151774189
9f35695d-bc4d-4d07-91ab-869f35e80e14,4_2,75,18,2,Tue Apr 10 20:50:39 GMT+02:00 2018,3,3,4.0,0,2,2.3333333333333335,0,0,3.0,5,24,-0.101656805361
9f35695d-bc4d-4d07-91ab-869f35e80e14,5_4,4,5,2,Tue Apr 10 21:23:31 GMT+02:00 2018,2,3,14.0,1,2,4.5,1,0,3.4,5,110,0.104454879197
9f35695d-bc4d-4d07-91ab-869f35e80e14,5_4,5,5,2,Tue Apr 10 21:24:34 GMT+02:00 2018,2,3,14.0,1,2,4.5,1,0,3.4,5,110,0.104454879197
587daa2c-a076-49dd-8ec5-17367d77b32c,4_1,34,7,2,Wed Apr 11 13:15:03 CAT 2018,1,1,17.0,4,5,5.0,2,2,2.5,3,23,-0.0473151774189
587daa2c-a076-49dd-8ec5-17367d77b32c,4_2,81,15,3,Wed Apr 11 13:16:39 CAT 2018,3,3,4.0,0,2,2.3333333333333335,0,0,3.0,5,24,-0.101656805361
587daa2c-a076-49dd-8ec5-17367d77b32c,4_3,31,4,2,Wed Apr 11 13:17:39 CAT 2018,2,4,4.0,0,1,1.0,0,0,2.75,4,24,-0.0652940515087
587daa2c-a076-49dd-8ec5-17367d77b32c,4_4,33,5,2,Wed Apr 11 13:18:18 CAT 2018,3,4,4.0,0,1,2.0,0,0,2.75,4,24,0.00446897605307
587daa2c-a076-49dd-8ec5-17367d77b32c,5_1,22,5,1,Wed Apr 11 13:18:55 CAT 2018,2,6,8.0,2,3,3.5,0,1,3.6,7,120,0.0569093995866
587daa2c-a076-49dd-8ec5-17367d77b32c,5_2,89,10,3,Wed Apr 11 13:22:39 CAT 2018,1,1,23.0,5,9,9.0,1,2,3.4,12,67,0.0453965014669
587daa2c-a076-49dd-8ec5-17367d77b32c,5_3,43,6,3,Wed Apr 11 13:25:16 CAT 2018,4,8,7.25,0,2,3.0,0,0,3.8,9,120,0.0215878867627
587daa2c-a076-49dd-8ec5-17367d77b32c,5_4,36,6,2,Wed Apr 11 13:26:01 CAT 2018,2,3,14.0,1,2,4.5,1,0,3.4,5,110,0.104454879197
ae3d27b2-c562-4c49-83ff-6de0d2b1d7c3,4_1,355,44,2,Fri Apr 13 19:20:24 GMT+02:00 2018,1,1,17.0,4,5,5.0,2,2,2.5,3,23,-0.0473151774189
ae3d27b2-c562-4c49-83ff-6de0d2b1d7c3,4_2,238,36,2,Sat Apr 14 14:48:04 GMT+02:00 2018,3,3,4.0,0,2,2.3333333333333335,0,0,3.0,5,24,-0.101656805361
ae3d27b2-c562-4c49-83ff-6de0d2b1d7c3,4_3,78,12,3,Sat Apr 14 14:49:28 GMT+02:00 2018,2,4,4.0,0,1,1.0,0,0,2.75,4,24,-0.0652940515087
efab0e0e-501b-4821-98ae-fba2e149cdd7,3_1,45,9,1,Mon Apr 16 20:35:38 GMT+02:00 2018,1,1,3.0,3,0,0.0,0,0,1.6666666666666667,1,6,-0.325
