User id,Instance id,Time (secs),Number of moves,Difficulty,Date,Number of wpos,Number of solution,Frozen Variables,Attraction Basin Size,Number of iteration
587daa2c-a076-49dd-8ec5-17367d77b32c,4-2,81,15,3,Wed Apr 11 13:16:39 CAT 2018,1,1,4,7,25
587daa2c-a076-49dd-8ec5-17367d77b32c,4-3,31,4,2,Wed Apr 11 13:17:39 CAT 2018,1,1,4,7,17
587daa2c-a076-49dd-8ec5-17367d77b32c,4-4,33,5,2,Wed Apr 11 13:18:18 CAT 2018,1,1,4,7,17
587daa2c-a076-49dd-8ec5-17367d77b32c,5-1,22,5,1,Wed Apr 11 13:18:55 CAT 2018,1,2,3,54,10
587daa2c-a076-49dd-8ec5-17367d77b32c,5-2,89,10,3,Wed Apr 11 13:22:39 CAT 2018,6,8,0,172,9.66666666
587daa2c-a076-49dd-8ec5-17367d77b32c,5-3,43,6,3,Wed Apr 11 13:25:16 CAT 2018,4,4,1,113,11
587daa2c-a076-49dd-8ec5-17367d77b32c,5-4,36,6,2,Wed Apr 11 13:26:01 CAT 2018,1,1,5,39,41
ae3d27b2-c562-4c49-83ff-6de0d2b1d7c3,4-1,355,44,2,Fri Apr 13 19:20:24 GMT+02:00 2018,1,1,4,8,24
ae3d27b2-c562-4c49-83ff-6de0d2b1d7c3,4-2,238,36,2,Sat Apr 14 14:48:04 GMT+02:00 2018,1,1,4,7,25
ae3d27b2-c562-4c49-83ff-6de0d2b1d7c3,4-3,78,12,3,Sat Apr 14 14:49:28 GMT+02:00 2018,1,1,4,7,17
efab0e0e-501b-4821-98ae-fba2e149cdd7,3-1,45,9,1,Mon Apr 16 20:35:38 GMT+02:00 2018,1,1,3,2,3
efab0e0e-501b-4821-98ae-fba2e149cdd7,3-2,68,3,1,Mon Apr 16 20:37:00 GMT+02:00 2018,2,2,1,2,3
587daa2c-a076-49dd-8ec5-17367d77b32c,5-5,35,8,3,Thu Apr 19 08:05:16 CAT 2018,1,2,3,57,18
587daa2c-a076-49dd-8ec5-17367d77b32c,6-1,36,7,3,Thu Apr 19 08:06:01 CAT 2018,3,5,2,699,47
587daa2c-a076-49dd-8ec5-17367d77b32c,6-2,34,6,3,Thu Apr 19 08:06:42 CAT 2018,1,2,4,355,36
587daa2c-a076-49dd-8ec5-17367d77b32c,6-3,88,17,4,Thu Apr 19 08:12:17 CAT 2018,3,5,2,772,66.666666
587daa2c-a076-49dd-8ec5-17367d77b32c,6-4,128,21,4,Thu Apr 19 08:14:35 CAT 2018,4,4,3,635,39
587daa2c-a076-49dd-8ec5-17367d77b32c,6-5,293,24,4,Thu Apr 19 08:19:38 CAT 2018,2,4,3,633,30
587daa2c-a076-49dd-8ec5-17367d77b32c,6-6,71,9,3,Thu Apr 19 08:21:02 CAT 2018,1,2,4,261,67
587daa2c-a076-49dd-8ec5-17367d77b32c,7-1,37,8,2,Thu Apr 19 08:21:47 CAT 2018,3,5,2,5950,81.33333333
587daa2c-a076-49dd-8ec5-17367d77b32c,7-2,142,15,3,Thu Apr 19 08:24:24 CAT 2018,3,14,1,13816,64.3333333333
587daa2c-a076-49dd-8ec5-17367d77b32c,7-3,23,7,2,Thu Apr 19 08:25:44 CAT 2018,6,29,0,32891,16.33333332
587daa2c-a076-49dd-8ec5-17367d77b32c,7-4,154,17,4,Thu Apr 19 08:28:30 CAT 2018,2,5,2,6476,138
587daa2c-a076-49dd-8ec5-17367d77b32c,7-5,70,9,3,Thu Apr 19 08:29:53 CAT 2018,2,10,1,12423,57.5
587daa2c-a076-49dd-8ec5-17367d77b32c,7-6,41,7,2,Thu Apr 19 08:31:36 CAT 2018,2,3,3,4224,38.5
587daa2c-a076-49dd-8ec5-17367d77b32c,7-7,140,10,4,Thu Apr 19 08:34:05 CAT 2018,4,4,3,3820,149.25
8f95ee4d-c146-4b91-aabd-f93b535c06d3,3-1,12,3,4,Thu Apr 19 09:01:13 GMT+02:00 2018,1,1,3,2,3
8f95ee4d-c146-4b91-aabd-f93b535c06d3,3-2,9,3,4,Thu Apr 19 09:25:24 GMT+02:00 2018,2,2,1,2,3
8f95ee4d-c146-4b91-aabd-f93b535c06d3,4-1,18,4,4,Thu Apr 19 09:29:44 GMT+02:00 2018,1,1,4,8,24
